ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.","Common stock","EUR",2504159,2018-03-26,14:00,21.34,21.36,21.34,21.36,568,4
"CA4969024047","KIN2","KINROSS GOLD CORP.","Common stock","EUR",2504199,2018-03-26,14:00,3.15,3.15,3.15,3.15,68,1
"CH0012032113","RHO","ROCHE HLDG AG INH. SF 1","Common stock","EUR",2504219,2018-03-26,14:00,186.8,186.8,186.8,186.8,1,1
"CH0038863350","NESR","NESTLE NAM.        SF-,10","Common stock","EUR",2504245,2018-03-26,14:00,62.86,62.88,62.86,62.88,165,2
"LU0274211480","DBXD","XTR.DAX 1C","ETF","EUR",2504269,2018-03-26,14:00,115.7,115.7,115.7,115.7,300,2
"LU0292106241","DXSN","XTR.SHORTDAX DAILY SW. 1C","ETF","EUR",2504270,2018-03-26,14:00,22.295,22.295,22.295,22.295,9281,1
"LU0838782315","XDDX","XTR.DAX INCOME 1D","ETF","EUR",2504277,2018-03-26,14:00,104.84,104.84,104.84,104.84,47,1
"DE000A0CAYB2","WIN","DIEBOLD NIXDORF  INH.O.N.","Common stock","EUR",2504286,2018-03-26,14:00,66.3,66.3,66.3,66.3,17,1
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG","Common stock","EUR",2504287,2018-03-26,14:00,55.85,55.85,55.85,55.85,96,1
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2018-03-26,14:00,8.25,8.252,8.25,8.252,1227,4
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2018-03-26,14:00,134.1,134.1,134.1,134.1,501,6
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH","Common stock","EUR",2504314,2018-03-26,14:00,36.4,36.42,36.39,36.42,1068,7
"DE000A0H08M3","EXH1","IS.S.E.600 OIL+G.U.ETF A.","ETF","EUR",2504330,2018-03-26,14:00,30.395,30.405,30.385,30.405,1180,6
"DE000A0JQ5U3","M5Z","MANZ AG","Common stock","EUR",2504345,2018-03-26,14:00,30,30,30,30,700,1
"DE000A0KRJU0","OD7C","ETFS COM.SEC.DZ06/UN.COPA","ETC","EUR",2504359,2018-03-26,14:00,22.626,22.626,22.626,22.626,101,1
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2018-03-26,14:00,12.36,12.36,12.36,12.36,504,2
"DE000A0LD6E6","GXI","GERRESHEIMER AG","Common stock","EUR",2504380,2018-03-26,14:00,65.95,65.95,65.95,65.95,122,2
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.","Common stock","EUR",2504401,2018-03-26,14:00,8.675,8.69,8.675,8.69,406,3
"DE000A0V9YT0","4RT2","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504420,2018-03-26,14:00,1.1998,1.1998,1.1998,1.1998,0,1
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2018-03-26,14:00,17.09,17.1,17.085,17.1,5992,7
"DE000A0XYGA7","TTR1","TECHNOTRANS AG NA O.N.","Common stock","EUR",2504432,2018-03-26,14:00,40.35,40.7,40.35,40.55,1773,9
"DE000A0Z1JH9","PSAN","PSI SOFTWARE AG NA O.N.","Common stock","EUR",2504435,2018-03-26,14:00,17.6,17.65,17.6,17.6,500,2
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2018-03-26,14:00,22.48,22.54,22.26,22.5,15148,26
